httpOpen,tcpWindowSize,zeroWindow,duration,resPacketSplit,label,srcIp,dstIp,srcPort,dstPort
Yes,1920.0,,,,NORMAL,1.251.107.146,133.244.209.32,16450,443
No,,,,,NORMAL,151.86.92.79,133.224.30.239,47541,8080
Yes,1598.0,,,,NORMAL,96.181.150.63,246.4.121.107,12425,443
No,,,,,NORMAL,164.184.237.241,178.182.74.55,45211,443
No,,,,,NORMAL,93.237.118.202,236.118.160.106,18608,443
Yes,819.0,20.0,195.0,,NORMAL,167.185.240.0,223.102.98.241,13055,443
Yes,824.0,20.0,465.0,193.0,NORMAL,179.211.28.227,232.96.164.120,39738,80
Yes,208.0,4.0,,,NORMAL,25.54.40.153,33.6.75.139,61905,80
No,,,,,NORMAL,66.75.231.242,80.253.231.43,10183,8080
No,,,,,NORMAL,51.55.35.196,32.128.216.240,20424,8080
No,,,,,NORMAL,251.174.229.132,28.40.159.71,64857,80
Yes,964.0,2.0,,,NORMAL,68.86.69.108,180.230.150.34,18025,443
No,,,,,NORMAL,203.41.50.48,171.146.221.165,35663,443
Yes,1329.0,,,,NORMAL,251.144.255.135,38.33.6.93,6936,443
Yes,473.0,10.0,,,NORMAL,203.221.204.73,79.110.14.188,60439,8080
No,,,,,NORMAL,137.80.233.72,235.167.88.246,20709,80
No,,,,,NORMAL,195.253.176.101,56.65.56.110,57894,80
No,,,,,NORMAL,115.152.220.123,22.188.0.208,63779,443
Yes,1146.0,,,,NORMAL,226.165.100.0,255.86.137.124,15464,80
