httpOpen,tcpWindowSize,zeroWindow,duration,resPacketSplit,label,srcIp,dstIp,srcPort,dstPort
Yes,566.0,14.0,3.0,,NORMAL,224.68.124.49,163.149.193.140,45989,80
Yes,339.0,5.0,,,NORMAL,79.112.177.166,72.141.57.108,55763,80
Yes,624.0,7.0,,,NORMAL,234.178.42.236,196.37.119.55,29628,80
Yes,441.0,18.0,537.0,241.0,NORMAL,215.189.32.142,178.159.213.12,31070,80
Yes,1804.0,,,,NORMAL,75.68.225.161,50.75.61.139,63199,80
Yes,1800.0,,,,NORMAL,120.0.20.6,39.106.132.151,2276,80
Yes,1175.0,,,,NORMAL,53.163.12.27,8.158.112.69,4058,80
No,,,,,NORMAL,173.198.28.84,29.212.137.224,6875,80
Yes,1770.0,,,,NORMAL,218.170.136.134,99.189.26.0,47223,80
Yes,567.0,10.0,,,NORMAL,124.162.180.102,204.172.226.211,62563,80
Yes,1909.0,,,,NORMAL,241.3.59.236,166.102.199.101,24975,80
Yes,1616.0,,,,NORMAL,250.225.25.216,170.143.205.89,24168,80
Yes,1671.0,,,,NORMAL,69.44.24.41,162.55.119.122,27398,36804
Yes,1929.0,,,,NORMAL,233.75.85.24,163.215.181.164,8700,80
Yes,1342.0,,,,NORMAL,237.187.182.10,67.201.242.237,19627,80
Yes,118.0,19.0,132.0,,NORMAL,157.196.23.204,144.19.150.0,39249,80
Yes,936.0,16.0,293.0,,NORMAL,168.141.110.3,234.158.255.109,7182,80
Yes,384.0,6.0,,,NORMAL,74.236.174.223,7.223.184.193,62956,80
Yes,724.0,19.0,126.0,,NORMAL,237.15.221.227,29.95.8.80,13366,80
Yes,770.0,15.0,2.0,,NORMAL,5.166.109.157,117.100.79.241,3622,80
Yes,1882.0,,,,NORMAL,122.158.66.68,169.128.164.245,21319,80
Yes,1394.0,,,,NORMAL,72.94.144.103,138.251.247.171,5515,80
Yes,132.0,2.0,,,NORMAL,7.80.30.28,190.4.143.14,65405,80
Yes,1671.0,,,,NORMAL,233.22.14.97,35.206.3.232,43322,80
No,,,,,NORMAL,8.177.136.29,47.175.189.18,6034,80
No,,,,,NORMAL,111.60.159.194,93.131.202.229,57013,80
Yes,1631.0,,,,NORMAL,138.154.193.190,131.186.159.53,25239,80
Yes,1044.0,,,,NORMAL,20.175.79.155,133.133.39.84,47197,80
Yes,1323.0,,,,NORMAL,116.76.169.80,80.126.214.174,50369,80
Yes,224.0,4.0,,,NORMAL,22.185.17.1,56.121.177.245,12291,80
Yes,946.0,9.0,,,NORMAL,1.218.99.251,67.45.81.41,46412,80
No,,,,,NORMAL,47.161.54.214,113.215.219.28,1055,80
Yes,465.0,14.0,301.0,137.0,NORMAL,237.143.250.2,196.140.185.185,28993,80
Yes,1294.0,,,,NORMAL,193.124.165.104,171.138.152.131,34772,80
Yes,1058.0,,,,NORMAL,45.237.175.117,231.186.156.197,14443,80
Yes,1346.0,,,,NORMAL,151.210.81.232,137.251.47.141,17118,80
Yes,1055.0,,,,NORMAL,111.43.85.134,143.9.195.82,18393,80
Yes,634.0,0.0,,,NORMAL,178.152.171.207,115.202.139.160,3462,80
Yes,1999.0,,,,NORMAL,77.216.212.122,114.66.13.243,26125,80
Yes,1153.0,,,,NORMAL,181.24.149.49,112.119.252.2,23807,80
Yes,1486.0,,,,NORMAL,211.117.73.25,103.174.20.60,45767,80
Yes,1536.0,,,,NORMAL,236.42.232.46,51.82.74.60,55945,80
Yes,1097.0,,,,NORMAL,32.87.237.211,116.105.68.202,32694,80
Yes,168.0,9.0,,,NORMAL,177.231.89.144,230.201.50.151,11728,80
Yes,1847.0,,,,NORMAL,212.214.240.252,72.138.211.53,34006,80
Yes,421.0,12.0,384.0,1242.0,ABNORMAL,135.195.114.142,249.231.231.45,63091,80
