@RELATION network_traffic

@ATTRIBUTE src_ip STRING
@ATTRIBUTE dst_ip STRING
@ATTRIBUTE src_port NUMERIC
@ATTRIBUTE dst_port NUMERIC
@ATTRIBUTE protocol {TCP, UDP, ICMP}
@ATTRIBUTE window_size NUMERIC
@ATTRIBUTE label {normal, abnormal}

@DATA
192.168.12.6,192.168.1.103,26560,143,TCP,1343,normal
192.168.1.103,192.168.1.103,50160,23,ICMP,641,normal
192.168.1.12,192.168.1.201,19053,21,TCP,806,normal
192.168.12.6,192.168.1.20,11568,22,ICMP,1190,normal
192.168.12.6,192.168.2.5,35999,143,UDP,1074,normal
192.168.8.45,192.168.45.6,31332,22,UDP,1438,normal
192.168.8.45,192.168.9.47,5106,80,UDP,825,abnormal
192.168.1.203,192.168.1.203,49083,443,TCP,1381,abnormal
192.168.9.47,192.168.1.221,30209,443,UDP,1244,normal
192.168.45.111,192.168.45.111,30934,110,ICMP,1408,normal
192.168.1.103,192.168.45.111,27427,23,ICMP,1124,normal
192.168.1.12,192.168.1.203,52317,25,TCP,1146,normal
192.168.1.101,192.168.1.12,28721,22,UDP,772,normal
192.168.9.21,192.168.1.20,1098,80,ICMP,1176,normal
192.168.1.201,192.168.45.6,57783,25,UDP,1139,normal
192.168.12.6,192.168.1.10,31360,25,ICMP,626,normal
192.168.1.103,192.168.9.47,12720,23,TCP,739,normal
192.168.9.47,192.168.2.1,46509,53,TCP,775,normal
192.168.2.1,192.168.8.45,34660,110,UDP,1380,abnormal
192.168.9.21,192.168.1.103,3322,25,UDP,1254,normal
192.168.1.203,192.168.8.45,44831,21,TCP,911,normal
192.168.1.101,192.168.8.45,12023,443,ICMP,1010,normal
192.168.2.1,192.168.1.12,37127,21,TCP,1195,normal
192.168.2.1,192.168.45.6,12583,22,ICMP,1221,normal
192.168.1.201,192.168.1.201,53918,80,UDP,804,normal
192.168.1.101,192.168.9.47,2621,110,ICMP,1322,abnormal
192.168.45.111,192.168.9.47,8822,80,ICMP,984,normal
192.168.1.12,192.168.8.45,4694,80,TCP,548,abnormal
192.168.9.21,192.168.1.10,11362,23,UDP,997,normal
192.168.1.12,192.168.1.10,38333,80,ICMP,730,normal
192.168.1.20,192.168.1.12,63735,110,TCP,996,normal
192.168.9.47,192.168.1.101,20201,23,UDP,652,normal
192.168.1.221,192.168.8.45,22376,23,TCP,723,normal
192.168.9.21,192.168.2.1,61931,80,TCP,1017,abnormal
192.168.8.45,192.168.1.203,39176,53,ICMP,958,normal
192.168.1.20,192.168.2.5,56363,80,ICMP,1075,normal
192.168.2.5,192.168.1.10,9148,80,ICMP,899,normal
192.168.9.47,192.168.12.6,23252,53,UDP,1134,normal
192.168.1.201,192.168.1.201,60679,53,TCP,823,normal
192.168.12.6,192.168.1.103,19822,110,ICMP,1040,normal
192.168.1.101,192.168.1.10,14865,21,ICMP,527,normal
192.168.1.221,192.168.8.45,19782,22,UDP,588,normal
192.168.8.45,192.168.1.221,25262,53,UDP,1090,normal
192.168.1.203,192.168.45.6,26796,25,UDP,1230,normal
192.168.1.20,192.168.8.45,5375,53,UDP,863,normal
192.168.1.101,192.168.1.103,8495,22,ICMP,554,abnormal
192.168.2.1,192.168.1.201,37699,53,ICMP,827,normal
192.168.2.5,192.168.1.20,42177,22,ICMP,999,normal
192.168.8.45,192.168.12.6,59516,23,ICMP,1391,normal
192.168.1.103,192.168.12.6,58885,110,ICMP,834,normal
192.168.45.111,192.168.45.6,17789,110,ICMP,579,normal
192.168.9.47,192.168.2.1,40502,110,TCP,1256,normal
192.168.1.10,192.168.1.12,25928,53,TCP,839,normal
192.168.1.221,192.168.2.5,7965,80,UDP,1074,normal
192.168.9.47,192.168.1.10,21171,443,ICMP,661,normal
192.168.2.1,192.168.2.5,25639,110,TCP,1118,normal
192.168.1.101,192.168.8.45,14800,110,UDP,1098,normal
192.168.2.1,192.168.1.221,1214,110,UDP,1145,abnormal
192.168.1.103,192.168.1.103,2264,80,TCP,1382,abnormal
192.168.8.45,192.168.1.221,58557,80,TCP,587,abnormal
192.168.9.21,192.168.8.45,16586,22,UDP,619,abnormal
192.168.8.45,192.168.9.47,57873,23,ICMP,649,abnormal
192.168.2.1,192.168.1.103,28033,21,ICMP,583,abnormal
192.168.12.6,192.168.1.10,35159,80,TCP,723,abnormal
192.168.1.201,192.168.1.20,24532,53,ICMP,636,abnormal
192.168.2.5,192.168.1.10,24470,80,TCP,673,abnormal
192.168.1.20,192.168.2.1,63480,143,UDP,676,abnormal
192.168.1.10,192.168.1.203,41369,80,TCP,793,abnormal
192.168.1.10,192.168.1.203,39113,110,TCP,1064,abnormal
192.168.45.6,192.168.1.12,10066,25,TCP,1427,abnormal
192.168.1.12,192.168.1.203,62850,22,TCP,668,abnormal
192.168.9.21,192.168.1.10,38833,443,TCP,721,abnormal
192.168.8.45,192.168.2.1,21118,21,UDP,851,abnormal
192.168.1.103,192.168.45.6,43840,80,TCP,637,abnormal
192.168.1.101,192.168.1.103,47630,110,TCP,670,abnormal
192.168.1.103,192.168.9.21,20100,143,UDP,1131,abnormal
192.168.1.12,192.168.2.1,48247,23,TCP,988,abnormal
192.168.9.47,192.168.2.5,55910,443,TCP,1017,abnormal
192.168.1.103,192.168.2.5,14969,21,TCP,612,abnormal
192.168.1.221,192.168.1.12,29336,110,TCP,985,abnormal
192.168.1.20,192.168.8.45,33584,110,ICMP,1017,abnormal
192.168.1.12,192.168.1.203,37841,80,TCP,822,abnormal
192.168.9.47,192.168.9.21,28303,80,TCP,611,abnormal
192.168.2.1,192.168.9.47,42867,21,ICMP,984,abnormal
192.168.12.6,192.168.1.20,20334,80,TCP,1263,abnormal
192.168.2.1,192.168.1.201,9393,443,TCP,1214,abnormal
192.168.12.6,192.168.1.201,8796,443,TCP,1207,abnormal
192.168.2.5,192.168.1.20,17293,443,TCP,969,abnormal
192.168.1.10,192.168.45.6,3657,22,UDP,1026,abnormal
192.168.9.21,192.168.2.1,30377,110,ICMP,1210,abnormal
192.168.1.10,192.168.2.5,15772,80,TCP,686,abnormal
192.168.1.101,192.168.12.6,38493,110,UDP,679,abnormal
192.168.12.6,192.168.1.221,56125,443,TCP,1142,abnormal
192.168.1.203,192.168.9.47,31145,143,UDP,888,abnormal
192.168.1.10,192.168.1.221,47219,80,TCP,576,abnormal
192.168.2.5,192.168.9.47,33234,21,ICMP,1319,abnormal
192.168.1.201,192.168.1.103,51352,80,TCP,1369,abnormal
192.168.45.111,192.168.9.21,31783,443,ICMP,1106,abnormal
192.168.9.21,192.168.2.1,2240,443,TCP,745,abnormal
192.168.2.1,192.168.9.47,39124,80,TCP,719,abnormal
